gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,Passed
male,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Bayar Sendiri,Selesai Ikut Bimbel,81,80,76,79.0,1
female,Kelompok Sosial Ekonomi 2,some college,Subsidi Sekolah,Tidak Ikut Bimbel,74,81,76,77.0,1
female,Kelompok Sosial Ekonomi 2,some college,Subsidi Sekolah,Tidak Ikut Bimbel,58,61,66,61.666666666666664,1
male,Kelompok Sosial Ekonomi 4,some high school,Subsidi Sekolah,Selesai Ikut Bimbel,80,79,79,79.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,35,28,27,30.0,0
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Tidak Ikut Bimbel,42,62,60,54.666666666666664,0
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,60,51,56,55.666666666666664,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Bayar Sendiri,Selesai Ikut Bimbel,87,91,81,86.33333333333333,1
male,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Selesai Ikut Bimbel,84,83,75,80.66666666666667,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,83,86,88,85.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Tidak Ikut Bimbel,34,42,39,38.333333333333336,0
male,Kelompok Sosial Ekonomi 2,high school,Subsidi Sekolah,Tidak Ikut Bimbel,66,77,70,71.0,1
male,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Selesai Ikut Bimbel,61,56,56,57.666666666666664,0
female,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Selesai Ikut Bimbel,56,68,74,66.0,1
male,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,87,85,73,81.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,55,65,62,60.666666666666664,1
male,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,86,80,75,80.33333333333333,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,52,66,73,63.666666666666664,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),master's degree,Subsidi Sekolah,Tidak Ikut Bimbel,45,56,54,51.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,72,72,71,71.66666666666667,1
male,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,57,50,54,53.666666666666664,0
male,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,68,72,64,68.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Selesai Ikut Bimbel,88,95,94,92.33333333333333,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,76,64,66,68.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,46,43,42,43.666666666666664,0
female,Kelompok Sosial Ekonomi 2,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,67,86,83,78.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some high school,Bayar Sendiri,Tidak Ikut Bimbel,92,87,78,85.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,83,82,84,83.0,1
male,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,80,75,77,77.33333333333333,1
male,Kelompok Sosial Ekonomi 4,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,63,66,67,65.33333333333333,1
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Selesai Ikut Bimbel,64,60,74,66.0,1
male,Kelompok Sosial Ekonomi 2,some college,Bayar Sendiri,Tidak Ikut Bimbel,54,52,51,52.333333333333336,0
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,84,80,80,81.33333333333333,1
male,Kelompok Sosial Ekonomi 4,high school,Subsidi Sekolah,Selesai Ikut Bimbel,73,68,66,69.0,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,80,83,83,82.0,1
female,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,56,52,55,54.333333333333336,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,59,51,43,51.0,0
male,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,75,74,69,72.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,85,76,71,77.33333333333333,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,89,76,74,79.66666666666667,1
female,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Selesai Ikut Bimbel,58,70,68,65.33333333333333,1
female,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Tidak Ikut Bimbel,65,64,62,63.666666666666664,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,68,60,53,60.333333333333336,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Bayar Sendiri,Selesai Ikut Bimbel,47,49,49,48.333333333333336,0
female,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Tidak Ikut Bimbel,71,83,83,79.0,1
female,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Selesai Ikut Bimbel,60,70,70,66.66666666666667,1
male,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,80,80,72,77.33333333333333,1
male,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,54,52,52,52.666666666666664,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,62,73,70,68.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,64,73,68,68.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,78,77,77,77.33333333333333,1
female,Kelompok Sosial Ekonomi 2,some college,Bayar Sendiri,Tidak Ikut Bimbel,70,75,78,74.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),master's degree,Subsidi Sekolah,Selesai Ikut Bimbel,65,81,81,75.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Selesai Ikut Bimbel,64,79,77,73.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Selesai Ikut Bimbel,79,79,78,78.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,44,50,51,48.333333333333336,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Bayar Sendiri,Tidak Ikut Bimbel,99,93,90,94.0,1
male,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,76,73,68,72.33333333333333,1
male,Kelompok Sosial Ekonomi 4,some high school,Subsidi Sekolah,Tidak Ikut Bimbel,59,42,41,47.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,63,75,81,73.0,1
female,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,69,72,77,72.66666666666667,1
female,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,88,92,95,91.66666666666667,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Subsidi Sekolah,Tidak Ikut Bimbel,71,76,70,72.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,69,63,61,64.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,58,49,42,49.666666666666664,0
female,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,47,53,58,52.666666666666664,0
female,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,65,70,71,68.66666666666667,1
male,Kelompok Sosial Ekonomi 2,some college,Bayar Sendiri,Selesai Ikut Bimbel,88,85,76,83.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,83,78,73,78.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Selesai Ikut Bimbel,85,92,93,90.0,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Bayar Sendiri,Selesai Ikut Bimbel,59,63,75,65.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,65,86,80,77.0,1
male,Kelompok Sosial Ekonomi 2,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,73,56,57,62.0,1
male,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,53,52,42,49.0,0
male,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,45,48,46,46.333333333333336,0
female,Kelompok Sosial Ekonomi 4,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,73,79,84,78.66666666666667,1
female,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Selesai Ikut Bimbel,70,78,78,75.33333333333333,1
female,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Tidak Ikut Bimbel,37,46,46,43.0,0
male,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,81,82,82,81.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,97,82,88,89.0,1
female,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Tidak Ikut Bimbel,67,89,82,79.33333333333333,1
male,Kelompok Sosial Ekonomi 2,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,88,75,76,79.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some high school,Bayar Sendiri,Selesai Ikut Bimbel,77,76,77,76.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,76,70,68,71.33333333333333,1
male,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,86,73,70,76.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Selesai Ikut Bimbel,63,60,57,60.0,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,65,73,75,71.0,1
male,Kelompok Sosial Ekonomi 4,high school,Subsidi Sekolah,Selesai Ikut Bimbel,78,77,80,78.33333333333333,1
male,Kelompok Sosial Ekonomi 2,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,67,62,60,63.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Bayar Sendiri,Selesai Ikut Bimbel,46,41,43,43.333333333333336,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,71,74,68,71.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Selesai Ikut Bimbel,40,46,50,45.333333333333336,0
male,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,90,87,75,84.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some college,Subsidi Sekolah,Selesai Ikut Bimbel,81,78,81,80.0,1
male,Kelompok Sosial Ekonomi 4,some high school,Subsidi Sekolah,Tidak Ikut Bimbel,56,54,52,54.0,0
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,67,84,81,77.33333333333333,1
male,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,80,76,64,73.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,74,75,83,77.33333333333333,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some college,Bayar Sendiri,Tidak Ikut Bimbel,69,67,69,68.33333333333333,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Selesai Ikut Bimbel,99,87,81,89.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,51,52,44,49.0,0
female,Kelompok Sosial Ekonomi 2,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,53,71,67,63.666666666666664,1
female,Kelompok Sosial Ekonomi 4,high school,Subsidi Sekolah,Tidak Ikut Bimbel,49,57,52,52.666666666666664,0
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,73,76,80,76.33333333333333,1
male,Kelompok Sosial Ekonomi 2,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,66,60,57,61.0,1
male,Kelompok Sosial Ekonomi 4,bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,67,61,68,65.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,68,67,69,68.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,59,64,75,66.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,71,66,65,67.33333333333333,1
female,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Selesai Ikut Bimbel,77,82,91,83.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,83,72,78,77.66666666666667,1
male,Kelompok Sosial Ekonomi 2,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,63,71,69,67.66666666666667,1
female,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,56,65,63,61.333333333333336,1
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Selesai Ikut Bimbel,67,79,84,76.66666666666667,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Bayar Sendiri,Tidak Ikut Bimbel,75,86,79,80.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,71,81,80,77.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,43,53,53,49.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Tidak Ikut Bimbel,41,46,43,43.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,82,90,94,88.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,61,61,62,61.333333333333336,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,28,23,19,23.333333333333332,0
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,82,75,77,78.0,1
female,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Tidak Ikut Bimbel,41,55,51,49.0,0
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,71,60,61,64.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,47,37,35,39.666666666666664,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,62,56,53,57.0,0
male,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,90,78,81,83.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,83,93,95,90.33333333333333,1
female,Kelompok Sosial Ekonomi 2,some college,Subsidi Sekolah,Tidak Ikut Bimbel,61,68,66,65.0,1
male,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Selesai Ikut Bimbel,76,70,69,71.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,49,51,43,47.666666666666664,0
female,Kelompok Sosial Ekonomi 2,some high school,Subsidi Sekolah,Tidak Ikut Bimbel,24,38,27,29.666666666666668,0
female,Kelompok Sosial Ekonomi 4,some high school,Subsidi Sekolah,Selesai Ikut Bimbel,35,55,60,50.0,0
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Tidak Ikut Bimbel,58,61,52,57.0,0
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,61,73,63,65.66666666666667,1
female,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Selesai Ikut Bimbel,69,76,74,73.0,1
male,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,67,72,67,68.66666666666667,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,79,73,67,73.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,72,80,75,75.66666666666667,1
male,Kelompok Sosial Ekonomi 2,some college,Bayar Sendiri,Tidak Ikut Bimbel,62,61,57,60.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,77,94,95,88.66666666666667,1
male,Kelompok Sosial Ekonomi 4,high school,Subsidi Sekolah,Tidak Ikut Bimbel,75,74,66,71.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,87,74,76,79.0,1
female,Kelompok Sosial Ekonomi 2,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,52,65,69,62.0,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,66,57,52,58.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Selesai Ikut Bimbel,63,78,80,73.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,46,58,57,53.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,59,71,70,66.66666666666667,1
female,Kelompok Sosial Ekonomi 2,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,61,72,70,67.66666666666667,1
male,Kelompok Sosial Ekonomi 1 (Rendah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,63,61,61,61.666666666666664,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Selesai Ikut Bimbel,42,66,69,59.0,0
male,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Tidak Ikut Bimbel,59,62,61,60.666666666666664,1
female,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,80,90,89,86.33333333333333,1
female,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Tidak Ikut Bimbel,58,62,59,59.666666666666664,0
male,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Selesai Ikut Bimbel,85,84,78,82.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,52,58,58,56.0,0
female,Kelompok Sosial Ekonomi 4,some high school,Subsidi Sekolah,Tidak Ikut Bimbel,27,34,32,31.0,0
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,59,60,58,59.0,0
male,Kelompok Sosial Ekonomi 1 (Rendah),bachelor's degree,Subsidi Sekolah,Selesai Ikut Bimbel,49,58,60,55.666666666666664,0
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Selesai Ikut Bimbel,69,58,53,60.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,61,66,61,62.666666666666664,1
female,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,44,64,58,55.333333333333336,0
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,73,84,85,80.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,84,77,71,77.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Selesai Ikut Bimbel,45,73,70,62.666666666666664,1
male,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,74,74,72,73.33333333333333,1
female,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Selesai Ikut Bimbel,82,97,96,91.66666666666667,1
female,Kelompok Sosial Ekonomi 4,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,59,70,73,67.33333333333333,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,46,43,41,43.333333333333336,0
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,80,90,82,84.0,1
female,Kelompok Sosial Ekonomi 4,master's degree,Subsidi Sekolah,Selesai Ikut Bimbel,85,95,100,93.33333333333333,1
female,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,71,83,77,77.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,66,64,62,64.0,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,80,86,83,83.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,87,100,95,94.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),master's degree,Subsidi Sekolah,Tidak Ikut Bimbel,79,81,71,77.0,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,38,49,45,44.0,0
female,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,38,43,43,41.333333333333336,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,67,76,75,72.66666666666667,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,64,73,70,69.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,57,78,67,67.33333333333333,1
female,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,62,64,64,63.333333333333336,1
male,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,73,70,75,72.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some high school,Subsidi Sekolah,Selesai Ikut Bimbel,73,67,59,66.33333333333333,1
female,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,77,68,77,74.0,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,76,67,67,70.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,57,54,56,55.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Selesai Ikut Bimbel,65,74,77,72.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),high school,Subsidi Sekolah,Tidak Ikut Bimbel,48,45,41,44.666666666666664,0
female,Kelompok Sosial Ekonomi 2,high school,Subsidi Sekolah,Tidak Ikut Bimbel,50,67,63,60.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,85,89,95,89.66666666666667,1
male,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Tidak Ikut Bimbel,74,63,57,64.66666666666667,1
male,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,60,59,54,57.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Selesai Ikut Bimbel,59,54,67,60.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some college,Bayar Sendiri,Tidak Ikut Bimbel,53,43,43,46.333333333333336,0
female,Kelompok Sosial Ekonomi 1 (Rendah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,49,65,55,56.333333333333336,0
female,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Selesai Ikut Bimbel,88,99,100,95.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,54,59,62,58.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,63,73,68,68.0,1
male,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,65,65,63,64.33333333333333,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,82,80,77,79.66666666666667,1
female,Kelompok Sosial Ekonomi 4,high school,Subsidi Sekolah,Selesai Ikut Bimbel,52,57,56,55.0,0
male,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,87,84,85,85.33333333333333,1
female,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Selesai Ikut Bimbel,70,71,74,71.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Selesai Ikut Bimbel,84,83,78,81.66666666666667,1
male,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,71,66,60,65.66666666666667,1
male,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Selesai Ikut Bimbel,63,67,67,65.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Subsidi Sekolah,Selesai Ikut Bimbel,51,72,79,67.33333333333333,1
